video_channelSubscriber,video_viewCount,video_likeCount,video_commentCount,video_num_tag,video_title_len,video_description_len,total_hour_mv_teaser_publish,total_day_mv_published,video_viewCount_mv_official
31100000,1237596.0,171596.0,7531.0,20.0,44,332.0,41.999722222222225,1677.0,52962745.0
31100000,549709.0,78940.0,3395.0,8.0,38,427.0,17.995555555555555,1681.0,11439010.0
31100000,1481343.0,132696.0,11690.0,20.0,64,342.0,192.00055555555556,1675.0,99223947.0
31100000,783196.0,103701.0,4958.0,14.0,32,266.0,48.000277777777775,1686.0,16095160.0
31100000,49604.0,4614.0,166.0,8.0,45,257.0,23.999444444444446,1688.0,186087.0
31100000,358064.0,23255.0,940.0,8.0,46,328.0,41.99916666666667,1690.0,18947668.0
31100000,328258.0,25583.0,943.0,10.0,60,342.0,65.99833333333333,1690.0,18947668.0
31100000,333405.0,29479.0,1298.0,8.0,66,348.0,90.00027777777778,1690.0,18947668.0
31100000,433303.0,37931.0,1866.0,8.0,38,217.0,280.0,1684.0,6022978.0
31100000,64892.0,4370.0,134.0,8.0,40,244.0,23.9975,1702.0,206563.0
31100000,957136.0,105479.0,6981.0,50.0,33,282.0,24.016111111111112,1705.0,55685396.0
31100000,573011.0,75283.0,4600.0,11.0,44,434.0,47.99861111111111,1708.0,8456660.0
31100000,126324.0,19361.0,4284.0,6.0,48,261.0,23.99861111111111,1716.0,1365629.0
31100000,818222.0,95265.0,4785.0,52.0,39,274.0,24.000833333333333,1720.0,97721797.0
31100000,31247.0,1973.0,63.0,11.0,63,393.0,24.000555555555554,1723.0,227510.0
31100000,277995.0,18643.0,595.0,7.0,37,240.0,24.00027777777778,1726.0,14288569.0
31100000,31209.0,1915.0,119.0,8.0,89,345.0,24.0,1744.0,54067.0
31100000,373464.0,19307.0,900.0,4.0,36,222.0,61.499722222222225,1746.0,6333925.0
31100000,250004.0,33380.0,2574.0,8.0,50,410.0,24.000555555555554,1772.0,5274481.0
31100000,287682.0,31689.0,1217.0,19.0,42,531.0,39.99916666666667,1793.0,4419954.0
31100000,336399.0,37974.0,1712.0,7.0,37,413.0,18.0,1796.0,10974284.0
31100000,200591.0,25195.0,984.0,5.0,47,394.0,24.00027777777778,1801.0,5962294.0
31100000,254902.0,36258.0,1714.0,5.0,49,396.0,34.000277777777775,1801.0,5962294.0
31100000,250496.0,20124.0,989.0,9.0,70,408.0,40.0,1807.0,1129964.0
31100000,37663.0,2723.0,118.0,6.0,63,371.0,19.499444444444446,1822.0,415949.0
31100000,614109.0,52467.0,2246.0,28.0,44,300.0,78.0,1832.0,56979412.0
31100000,1003586.0,84175.0,7010.0,28.0,44,300.0,102.0,1832.0,56979412.0
31100000,946368.0,85557.0,7459.0,28.0,44,300.0,126.00027777777778,1832.0,56979412.0
31100000,416698.0,55496.0,6507.0,30.0,57,326.0,2.003888888888889,1839.0,30073534.0
31100000,75758.0,7131.0,873.0,19.011019283746556,35,211.0,95.99972222222222,1839.0,101467.0
31100000,198857.0,19347.0,1031.0,11.0,51,477.0,24.00027777777778,1856.0,12067167.0
31100000,535220.0,84174.0,5872.0,5.0,28,415.0,11.880277777777778,1863.0,26444709.0
31100000,142882.0,11149.0,465.0,9.0,67,667.0,33.99944444444444,1871.0,1264564.0
31100000,233089.0,16977.0,923.0,8.0,41,574.0,33.99944444444444,1874.0,4655692.0
31100000,227875.0,13755.0,624.0,9.0,67,668.0,136.00055555555556,1871.0,1264564.0
31100000,382299.0,22764.0,1649.0,8.0,41,573.0,111.99916666666667,1874.0,4655692.0
31100000,2183567.0,233597.0,9304.0,40.0,30,516.0,23.99972222222222,1894.0,3840683.0
31100000,2787735.0,301283.0,14563.0,39.0,24,505.0,24.000833333333333,1894.0,98933109.0
31100000,170656.0,21361.0,813.0,14.0,29,342.0,46.99944444444444,1900.0,2308398.0
31100000,56517.0,3648.0,202.0,16.0,37,466.0,24.0,1919.0,983613.0
31100000,340238.0,32580.0,1210.0,22.0,50,476.0,41.99888888888889,1926.0,3219946.0
31100000,2195028.0,138735.0,10560.0,47.0,42,533.0,30.002222222222223,1926.0,54220119.0
31100000,241712.0,11096.0,433.0,16.0,47,490.0,23.99972222222222,1933.0,913143.0
31100000,2395722.0,211743.0,8811.0,34.0,34,597.0,18.999444444444446,1943.0,7696496.0
31100000,75321.0,3961.0,167.0,12.0,58,513.0,23.999166666666667,1947.0,224586.0
31100000,730794.0,76421.0,3269.0,17.0,43,696.0,24.045555555555556,1954.0,7500058.0
31100000,61584.0,3550.0,268.0,14.0,56,495.0,47.99777777777778,1961.0,201706.0
31100000,65536.0,3203.0,192.0,12.0,48,396.0,47.999722222222225,1968.0,364453.0
31100000,156614.0,13523.0,636.0,16.0,65,400.0,66.00027777777778,1969.0,5120013.0
31100000,193513.0,15286.0,933.0,16.0,65,399.0,90.00027777777778,1969.0,5120013.0
31100000,39069.0,2266.0,119.0,15.0,50,484.0,24.0,1975.0,743943.0
31100000,43449.0,2453.0,120.0,14.0,45,464.0,23.0,1982.0,186850.0
31100000,398850.0,32541.0,2181.0,16.0,44,445.0,67.00138888888888,1990.0,8100525.0
31100000,129053.0,8822.0,539.0,20.0,41,596.0,41.99888888888889,1996.0,228276.0
31100000,236160.0,25117.0,1983.0,23.0,49,502.0,48.00138888888889,1998.0,4793169.0
31100000,33561.0,1963.0,103.0,14.0,53,516.0,42.000277777777775,2003.0,88855.0
31100000,290442.0,21433.0,1336.0,17.0,54,629.0,17.999166666666667,2010.0,5831165.0
31100000,184994.0,14605.0,735.0,19.0,45,628.0,41.999722222222225,2018.0,1648799.0
31100000,141737.0,7875.0,335.0,32.0,45,652.0,48.00083333333333,2024.0,1022822.0
31100000,113243.0,9237.0,713.0,12.0,43,497.0,60.00055555555556,2024.0,1845777.0
31100000,325439.0,27092.0,1589.0,30.0,41,553.0,77.99972222222222,2028.0,38868983.0
31100000,47333.0,2846.0,223.0,22.0,81,715.0,65.99972222222222,2031.0,168446.0
31100000,218690.0,19548.0,1342.0,25.0,46,523.0,101.99972222222222,2034.0,5672758.0
31100000,1030481.0,74823.0,4611.0,49.0,55,954.0,41.99944444444444,2038.0,18794359.0
31100000,401062.0,34575.0,1210.0,44.0,55,833.0,36.0,2046.0,13290298.0
31100000,1063221.0,65201.0,3273.0,54.0,39,505.0,35.99861111111111,2048.0,15701267.0
31100000,1113961.0,64413.0,3835.0,57.0,27,398.0,35.99916666666667,2084.0,83091478.0
